Resourse,Location,Price,Post Prices
South China,East Guangdong,"4,830-4,880",
South China,Shenzhen,"4,750-4,850",
South China,Guangzhou,"4,748-4,780","4,700-4,700"
South China,Zhuhai,"4,680-4,780",
South China,Western Guangdong,"4,740-4,750","4,700-4,700"
South China,Guangxi,"- 5,140-5,160 -","4,820-4,820"
South China,Hainan,"5,660-5,680",
East China,Jiangsu,"4,550-4,650","4,550-4,550"
East China,Shanghai,"4,150-4,250","4,150-4,290"
East China,Zhejiang,"4,550-4,650","5,150-5,150"
East China,Fujian,"4,600-4,700",-
North China,North-East,"3,800-3,850","3,800-3,850"
North China,South-East,"4,150-4,250","4,150-4,400"
North China,Shandong,"4,200-4,300","4,200-4,500"
Northeast China,Dalian*,"3,830-3,850","3,850-3,850"
Northeast China,West Liaoning**,"3,610-3,630","3,630-3,630"
Northeast China,Hei Longjiang***,"3,180-3,200","3,200-3,200"
Rim China Domestic Index,South China,"4,872 +",
Rim China Domestic Index,East China,"4,561",
